STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,Average wind speed,Peak Gust Time,Preciption,Snowfall,Snow depth,Average Temperature,Maximum Temperature,Minimum Temperature,Direction of fastest 2-minute wind,Direction of fastest 5-minute wind,Fastest 2-minute wind,Fastest 5-minute wind,"Fog, ice fog, or freezing fog",Heavy fog or heaving freezing fog,Thunder,"Ice pellets, sleet, snow pellets, or small hail",Hail (may include small hail),Glaze or rime,Smoke or haze,Blowing or drifting snow
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/3/2014,5.82,0.0,0.08,0.0,0.0,49,63,39,200,10.0,13.0,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/4/2014,13.87,0.0,0.1,0.0,0.0,44,45,41,100,100.0,25.9,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/5/2014,16.55,0.0,0.0,0.0,0.0,47,57,41,270,270.0,33.1,38.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/6/2014,10.51,0.0,0.0,0.0,0.0,45,57,37,310,,16.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/7/2014,10.96,0.0,0.35,0.0,0.0,44,51,37,90,90.0,25.9,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/8/2014,13.65,0.0,0.25,0.0,0.0,53,66,47,270,290.0,30.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/9/2014,15.21,0.0,0.0,0.0,0.0,54,64,43,310,340.0,30.0,36.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/10/2014,16.33,0.0,0.0,0.0,0.0,48,53,38,180,170.0,29.1,35.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/11/2014,8.72,0.0,0.0,0.0,0.0,54,69,47,190,10.0,19.9,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4,4/12/2014,10.96,0.0,0.0,0.0,0.0,59,68,49,190,190.0,19.0,25.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
